	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
AX_PLAY_BUTTON_PLAYING_REMAINING_TIME_MINUTES_SECONDS	{"minutes": {"one": "Playing, Remaining Time: %d minute", "other": "Playing, Remaining Time: %d minutes", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "seconds": {"one": "%d second", "other": "%d seconds", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%1$#@minutes@, %2$#@seconds@"}
AX_PLAY_BUTTON_PLAYING_REMAINING_TIME_SECONDS	{"value": {"one": "Playing, Remaining Time: %d Second", "other": "Playing, Remaining Time: %d Seconds", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
AX_PLAY_BUTTON_PLAY_REMAINING_TIME	Play, Remaining Time:
AX_PLAY_BUTTON_PLAY_REMAINING_TIME_HOURS_MINUTES	{"hours": {"one": "Play, Remaining Time: %d hour", "other": "Play, Remaining Time: %d hours", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "minutes": {"one": "%d minute", "other": "%d minutes", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%1$#@hours@, %2$#@minutes@"}
AX_PLAY_BUTTON_PLAY_REMAINING_TIME_MINUTES	{"value": {"one": "Play, Remaining Time: %d Minute", "other": "Play, Remaining Time: %d Minutes", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
AX_PLAY_BUTTON_PLAY_REMAINING_TIME_MINUTES_SECONDS	{"minutes": {"one": "Play, Remaining Time: %d minute", "other": "Play, Remaining Time: %d minutes", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "seconds": {"one": "%d second", "other": "%d seconds", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%1$#@minutes@, %2$#@seconds@"}
AX_PLAY_BUTTON_PLAY_REMAINING_TIME_SECONDS	{"value": {"one": "Play, Remaining Time: %d Second", "other": "Play, Remaining Time: %d Seconds", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
AX_PLAY_BUTTON_REPLAY	Replay
AX_PREV_PAGE_BUTTON	Previous page
AX_QUEUE_BUTTON_LABEL	Queue
